JobID,JobCode,Name,Description,DefaultOrder
1,C1,Office Support 1,"Entry level job.  Performs a variety of clerical and other routine duties such as furnishing clerical supplies from stock, delivering verbal and written messages, sealing and stamping envelopes, running errands, collecting and distributing mail, answering telephones, and operating simple office machines such as copiers, postage meters, fax machines.  Familiar with simple word processing and e-mail. Simple data entry. Works under close supervision.",1
2,C2,Office Support 2,"Performs a variety of clerical and other routine duties.  Working knowledge of word processing, spreadsheet software, and Powerpoint software. Accurate data entry into existing Access or Excel files. Can create PowerPoint presentations using templates. Familiar with Internet searching techniques. Answers telephones, provides routine information.  Typical minimum requirement is one year of general office experience. Keeps supervisor informed of work progress.",2
3,C3,Office Support 3,"Performs more advanced word processing, data entry, and spreadsheet tasks.  May devise spreadsheet routines and develop standard reports; must ensure the accuracy of data entry.  Prepares PowerPoint presentations, charts, and graphs. Typical minimum requirements are two to four years’ experience.",3
4,C4,Office Support 4,"Provides administrative support for project teams or managers at the level of department head.  Sets up and maintains records, schedules appointments and meetings.  Handles phone calls and email, draft responses on routine matters. If assigned to a project team, ensures all team members receive all communications.  Prioritizes those communications that require managerial or team input.  Handles sensitive and confidential information.  Typical minimum requirements are four to six years’ experience.",4
5,C5,Office Support 5,"Provides administrative support for major executive.  Sets up and maintains records, organizes and maintains daily schedule including appointments and meetings.  Handles all communications, responds to routine matters.  Prioritizes those communications that require executive input. Responsible for preparing executive presentations; may delegate tasks to lower-level support personnel. Position requires substantial discretion. Handles sensitive and confidential information.  Typical minimum requirements are six to eight years’ experience.",5
6,C6,Office Support 6,Responsible for the smooth and efficient functioning of entire administrative support services group.  Responsible for hiring and training support services personnel.  Responsible for workflow in entire administrative support group.  Typical minimum requirements are associates’ degree and eight to ten years experience with demonstrated leadership experience.,6
7,M1,Marketer 1,Assists in providing support for one or a few products and generating  presentations to incorporate marketing messages.  Works under general  direction dealing with less complex issues and products.  Typical  requirements are a Bachelor's degree or equivalent and up to two years of  experience.,7
8,M2,Marketer 2,Assists in providing direction for one or a few products.  Interacts with  product management and customers to provide input at review  meetings.  Generates presentations to incorporate marketing  messages.  Typical requirements are a Bachelor's degree and two to four  years of experience or a Master's degree and up to two years of experience.,8
9,M3,Marketer 3,"Assists in providing direction for one or a few products.  Interacts with  product management and customers to provide input at review meetings.  Provides support through demo instruction and tool development, functional  demonstrations, and telephone consultation.  Typical requirements are a  Bachelor's degree and four to six years of experience or a Master's degree  and two to four years of experience.",9
10,M4,Marketer 4,Coordinates overall strategy for a number of products or a product  line.  Interacts with product management and customers to provide input at  review meetings.  Maintains expertise of products through training and  research.  Helps develop product specifications and requirements.  Typical  requirements are a Bachelor's degree and six or more years of experience or  a Master's degree and four to six years of experience.,10
11,M5,Marketer 5,Develops overall strategy for marketing a product line or product  set.  Maintains expertise of products through training and research.  Key  resource in interacting with product management and marketing  groups.  Develops product specifications and requirements.  Typical  requirements are a Bachelor's degree and ten or more years of experience or  a Master's degree and six or more years of experience.,11
12,MM1,Marketing Manager 1,Oversees the development of product specifications and requirements for a  product line or a product set.  Key resource in interacting with product  management and marketing groups.  Provides presentations to senior customer  management.  Typically manages up to 10 employees performing similar  tasks.  First level of management with human resource responsibilities.,12
13,MM2,Marketing Manager 2,"Defines company's strategy for multiple product lines.  Manages the  development of product specification and requirement strategies.  Provides  presentations to senior customer management.  Typically manages 10 to 25  employees, including first level managers.  (May be from multiple disciplines.)",13
